keys,ru,en
"boss_info Kostyanoy","Робот модели РБМ-62, был участником нескольких войн прошлого","Variation of BMR-62. Participated in some wars of the past"
"boss_info Ledyanoy","Вариация РЗМ-28, созданная для работы при очень низкой температуре","Variation of GMR-28. Created for work under low level temperature"
"boss_info Zeppelin","Робот модели РЗМ-29, был участником нескольких войн прошлого","Variation of GMR-29. Participated in some wars of the past"
"boss_info Voronoy","Робот модели РЗМ-28. Создан для подавления бунтов в тюрьме","Variation of GMR-28. Created to stop any riots in the prison"
"boss_info Black_Baron"," "," "
"boss_info Unknown","Робот неизвестной модели, схожие роботы разрабатывались в прошлом, ныне не существующей корпорацией","Unknown model of the robot, similar robots were created in the past by corporation, that doesn't exists anymore"
"boss_info Black_Baron"," "," "
"info_r Kostyanoy","Уязвимость против определённого оружия: есть","Weakness against particular weapon: yes"
"info_r Ledyanoy","Уязвимость против определённого оружия: есть","Weakness against particular weapon: yes"
"info_r Zeppelin","Уязвимость против определённого оружия: есть","Weakness against particular weapon: yes"
"info_r Unknown","Уязвимость против определённого оружия: есть","Weakness against particular weapon: yes"
"info_r Voronoy","Уязвимость против определённого оружия: есть","Weakness against particular weapon: yes"
"info_r Black_Baron","Уязвимость против определённого оружия: нету","Weakness against particular weapon: no"
"level_desc Ledyanoy","Бункер, выглядящий как пещера","The bunker, that looks like a cave"
"level_desc Zeppelin","Аэропорт","An airport"
"level_desc Kostyanoy","Бункер под лесом возле города Ньювест-Авалон, в процессе расширения","Bunker under the forest near the city of Newest Avalon, which is under expansion"
"level_desc Kostyanoy_2","Бункер под лесом возле города по добыче сапфира S-331, в процессе расширения","Bunker under the forest near the city of S-331, which is under expansion"
"level_desc Unknown","Тюрьма","A prison"
"level_desc Voronoy_2","Тюрьма","A prison"
"level_desc Black_Baron"," "," "
boss,Босс,Boss
Kostyanoy,Костяной,Kostyanoy
Ledyanoy,Ледяной,Ledyanoy
Zeppelin,Цеппелин,Zeppelin
Unknown,Неизвестный,Unknown
Voronoy,Вороной,Voronoy
Black_Baron,Чёрный Барон,Black Baron
on,вкл,on
off,выкл,off
GMR_27,РЗМ-27,GMR-27
GMR_28,РЗМ-28,GMR-28
GMR_29,РЗМ-29,GMR-29
NMR-08,РНМ-08,NMR-08
NMR-07,РНМ-07,NMR-07
NMR-05,РНМ-05,NMR-05
NMR-04,РНМ-04,NMR-04
NMR-03,РНМ-03,NMR-03
NMR-02,РНМ-02,NMR-02
NMR-01,РНМ-01,NMR-01
Play_sequel,Поиграйте в Sapphire Hero 2 Rewritten,Play Sapphire Hero 2 Rewritten
Prototype,РНМ-01 (Прототип),NMR-01 (Prototype)
Default,Стандартный,Default
Pale,Бледный,Pale
Neon,Неоновый,Neon
Head,Голова,Head
Gray,Серый,Gray
Sequel,Сиквел,Sequel
Phantom,Призрачный,Phantom
Halloween,Хэллоуин,Halloween
Spanish,Испанский,Spanish
Dog_from_hell,Пёсик из Ада,Dog from Hell.
"Spanish_desc","Поиграйте в Bullets that split the sky Dilogy","Play Bullets that split the sky Dilogy"
Progress_bar,Индикатор HP/патронов,Progress bar HP/ammo
New_year,Новый год,New year
HP_refill,Восполнитель HP,HP refiller
Plane,Самолёт,Plane
Sequel_unlock,Сиквел,Sequel
Head_1,Голова 1,Head 1
Head_2,Голова 2,Head 2
Head_3,Голова 3,Head 3
UI_1,UI 1,UI 1
UI_2,UI 2,UI 2
UI_3,UI 3,UI 3
Ready mods,Ready моды,Ready mods
Levels,Уровни,Levels
Flying GMR-33,Летающие РЗМ-33,Flying GMR-33
No mod loaders found,Загрузчик модов не найден,No mod loaders found
